Borough,Neighborhood,Latitude,Longitude,NearHos,AvgDist,Population,HospDensity,Pop/Dist
Bronx,West Farms,40.839475056726535,-73.87774474910546,4,15.913012927477414,34542,1.158010537895895,2170.6762985377477
Bronx,Melrose,40.819754370594936,-73.90942160757436,15,14.01396724215327,33195,4.518752824220515,2368.7082627217223
Bronx,Mott Haven,40.80623874935177,-73.91609987487574,9,13.139315090768724,33195,2.7112516945323093,2526.3873931542885
Bronx,Port Morris,40.80166362775621,-73.91322139386133,10,12.943220676393526,49030,2.039567611666327,3788.0834473774594
Bronx,Longwood,40.81509904545822,-73.8957882009446,5,13.98707048258474,23082,2.166190104843601,1650.238341812843
Bronx,Hunts Point,40.80972987938709,-73.88331505955291,2,13.996663808408535,25142,0.7954816641476414,1796.2851965406123
Bronx,Morrisania,40.823591985855344,-73.90150648943059,11,14.378675654001167,29797,3.691646810081552,2072.3048990752054
Bronx,Soundview,40.821012197914015,-73.86574609554923,4,15.102901827687633,50753,0.7881307508915729,3360.4800308611066
Bronx,Clason Point,40.80655112003589,-73.85414416189265,2,14.755628080624213,50753,0.39406537544578646,3439.568937539457
Bronx,Throgs Neck,40.815109258040046,-73.81635002158441,0,16.705987280410962,43712,NaN,2616.5469460913355
Bronx,Country Club,40.844245936947374,-73.8240992675385,15,18.012028795337567,27140,5.52689756816507,1506.7708534324138
Bronx,Parkchester,40.83793782226729,-73.85600310535783,19,16.419474225024054,29353,6.472932919974109,1787.694270701107
Bronx,Westchester Square,40.8406194964327,-73.84219407604444,25,17.061113862284074,27135,9.213193292795284,1590.4588773647206
Bronx,Van Nest,40.84360847124718,-73.86629918075609,17,16.491775211407838,27135,6.264971439100792,1645.3656232974809
Bronx,Morris Park,40.847549063536334,-73.8504017803042,27,17.237360125376266,27135,9.950248756218905,1574.1969653492797
Bronx,Belmont,40.85727710073896,-73.88845196134805,11,16.991081516259225,25967,4.236145877459853,1528.2723454155332
Bronx,Spuyten Duyvil,40.88139497727086,-73.91719048210393,15,18.763932447915998,29872,5.021424745581146,1591.9903827684964
Bronx,North Riverdale,40.90854282950666,-73.90453054908927,0,21.429869735277734,28013,NaN,1307.1941335175338
Bronx,Pelham Bay,40.85064140940335,-73.8320737824047,27,18.11423012058089,27140,9.948415622697127,1498.2695824960444
Bronx,Schuylerville,40.826579516869224,-73.82620275994074,5,16.86579558709029,43712,1.1438506588579795,2591.7544046044763
Bronx,Edgewater Park,40.82198611816349,-73.81388514428619,1,17.164622081522054,43712,0.2287701317715959,2546.6334063396916
Bronx,Castle Hill,40.81901437698832,-73.84802729582734,5,15.592147487691545,50753,0.9851634386144661,3255.035910868882
Bronx,Olinville,40.87137078192371,-73.86332361652777,15,18.687267967395538,57420,2.6123301985370952,3072.6802922815195
Bronx,Pelham Gardens,40.86296562477997,-73.84161194831223,20,18.665361528508686,28510,7.01508242721852,1527.4282234745374
Bronx,Concourse,40.83428380733851,-73.91558941773444,13,14.90019338953284,58961,2.20484727192551,3957.0627345963985
Bronx,Unionport,40.82977429787161,-73.85053524451935,13,16.10112976014561,25768,5.045017075442409,1600.3845931223007
Bronx,Edenwald,40.884561303037316,-73.84808271877169,1,20.23486920330237,35422,0.28231042854723054,1750.5425730263214
Brooklyn,Bay Ridge,40.625801065010656,-74.03062069353813,20,17.618553180566412,80539,2.4832689752790573,4571.260714462978
Brooklyn,Bensonhurst,40.61100890202044,-73.99517998380729,8,17.758441924693642,84640,0.945179584120983,4766.183900531587
Brooklyn,Sunset Park,40.64510294925429,-74.01031618527784,46,15.661877646071373,52312,8.793393485242392,3340.0848341528163
Brooklyn,Greenpoint,40.7302009848647,-73.95424093127394,14,11.174750143206762,37821,3.701647233018693,3384.505202829233
Brooklyn,Gravesend,40.59526001306593,-73.97347087708445,16,18.77584155598413,29257,5.468776703011245,1558.2257611603766
Brooklyn,Brighton Beach,40.57682506566604,-73.96509448785335,13,20.38470735036774,35244,3.6885711043014413,1728.9431432217348
Brooklyn,Sheepshead Bay,40.58689012678384,-73.9431864048298,13,19.425790980810746,64596,2.0125085144590997,3325.2700012992755
Brooklyn,Flatbush,40.63632589026677,-73.95840106533903,14,15.385010065566727,110875,1.2626832018038332,7206.690117684741
Brooklyn,Crown Heights,40.67082917695294,-73.94329119073582,21,13.23949810549839,103462,2.0297307223908296,7814.6466864202375
Brooklyn,East Flatbush,40.64171776668961,-73.93610256185836,21,15.041573170179264,110875,1.8940248027057498,7371.236954111669
Brooklyn,Kensington,40.64238195800353,-73.98042110559473,26,15.169697286351704,36937,7.039012372417901,2434.920045058019
Brooklyn,Windsor Terrace,40.65694583575104,-73.98007340430172,18,14.255164808677922,20779,8.662592040040426,1457.6471250160962
Brooklyn,Prospect Heights,40.67682226225472,-73.9648592426269,32,12.992221640120693,19655,16.280844568812007,1512.8282555851943
Brooklyn,Brownsville,40.66394994339755,-73.91023536176606,10,13.982612225154975,59099,1.6920760080542818,4226.606520180816
Brooklyn,Williamsburg,40.707144393442505,-73.95811529220926,17,11.733517079543073,32269,5.26821407542843,2750.155795678666
Brooklyn,Bushwick,40.69811611017901,-73.92525797487045,10,12.1701113300576,56093,1.7827536412743124,4609.078625391221
Brooklyn,Bedford Stuyvesant,40.68723160772045,-73.94178488690297,14,12.467296302874761,59227,2.363786786431864,4750.588945763901
Brooklyn,Brooklyn Heights,40.69586372272408,-73.99378225496423,29,12.718741022003432,22548,12.861451126485719,1772.8169762236641
Brooklyn,Cobble Hill,40.687919722485574,-73.99856139218463,24,13.158367610253613,22548,10.6439595529537,1713.5864164814448
Brooklyn,Carroll Gardens,40.68054023107649,-73.99465372828006,38,13.356409631218414,38327,9.91468155608318,2869.5585908369367
Brooklyn,Red Hook,40.67625323025089,-74.01275897473559,4,14.13160135823793,38327,1.0436506901140188,2712.1483990671386
Brooklyn,Gowanus,40.67393114318715,-73.99444087145339,28,13.656080972499609,67263,4.16276407534603,4925.498035304061
