Borough,Neighborhood,Latitude,Longitude,NearHos,AvgDist
Staten Island,Bay Terrace,40.55398800858462,-74.13916622175769,2,27.84068126066674
Staten Island,Huguenot,40.53191192048961,-74.19174105747814,3,32.35144452843032
Staten Island,Pleasant Plains,40.52469937611813,-74.21983106616777,0,34.493134334820354
Staten Island,Butler Manor,40.50608165346305,-74.22950350260027,0,36.44737663763561
Staten Island,Charleston,40.53053148283314,-74.23215775896526,0,34.80622706814074
Staten Island,Rossville,40.54940400650072,-74.21572851113952,0,32.50392857030454
Staten Island,Arden Heights,40.54928582278321,-74.18588674583894,1,30.736462354554213
Staten Island,Greenridge,40.55529523617321,-74.17079414786092,3,29.44123953965334
Staten Island,Heartland Village,40.58913894875281,-74.15902208156602,3,26.43891076060686
Staten Island,Chelsea,40.594726027462954,-74.18956045519691,1,28.00630012971627
Staten Island,Bloomfield,40.60577868452358,-74.18725638381567,1,27.2425119473288
Staten Island,Bulls Head,40.6095918004203,-74.15940948657122,4,25.239005379360368
Manhattan,Carnegie Hill,40.782682567125704,-73.95325646837112,107,11.781628369221721
Manhattan,Noho,40.72325901885768,-73.98843368023597,61,11.814376027802648
Manhattan,Civic Center,40.71522892046282,-74.00541529873355,29,12.55232766427466
Manhattan,Midtown South,40.7485096643122,-73.98871313285247,100,11.693351339403515
Staten Island,Richmond Town,40.56960594275505,-74.1340572986257,4,26.384612723347256
Staten Island,Shore Acres,40.60971934079284,-74.0666776606177,3,20.202897575485384
Staten Island,Clifton,40.61917845202843,-74.072642445484,3,19.83294679151557
Staten Island,Concord,40.6044731896879,-74.08402364740357,1,21.35453724832524
Staten Island,Emerson Hill,40.606794394801,-74.09776206972522,2,21.872399540832095
Staten Island,Randall Manor,40.63563000681151,-74.09805062373887,7,20.16814990985454
Staten Island,Howland Hook,40.63843283794795,-74.18622331749823,0,25.632896978388477
Staten Island,Elm Park,40.630146741193826,-74.1418167896889,0,23.05465726657123
Brooklyn,Remsen Village,40.652117451793494,-73.91665331978048,13,14.574374413133695
Brooklyn,New Lots,40.662744279696604,-73.88511776379292,2,14.618883897499543
Brooklyn,Paerdegat Basin,40.63131755039667,-73.90233474295836,3,16.24233093085982
Brooklyn,Mill Basin,40.61597423962336,-73.91515391550405,7,17.184660897869897
Queens,Jamaica Hills,40.71145964370482,-73.79646462081594,13,16.15423442907608
Queens,Utopia,40.733500254297574,-73.79671678028348,11,15.812653139148424
Queens,Pomonok,40.73493618075478,-73.80486120040538,11,15.384838094509561
Queens,Astoria Heights,40.7703173929982,-73.89467996270574,4,12.174868021226677
Bronx,Claremont Village,40.83142834161548,-73.90119903387668,12,14.888535896871689
Bronx,Concourse Village,40.824780490842905,-73.91584652759009,15,14.250757470379007
Bronx,Mount Eden,40.84382617671654,-73.91655551964418,16,15.591988829168043
Bronx,Mount Hope,40.84884160724665,-73.90829930881988,16,16.04960592509449
Manhattan,Sutton Place,40.760280331313744,-73.96355614094303,123,11.20545571056288
Queens,Hunters Point,40.743414090073536,-73.95386782130745,50,11.046201323696112
Manhattan,Turtle Bay,40.752042369507215,-73.96770824581834,146,11.180179235084754
Manhattan,Tudor City,40.7469174107402,-73.97121928722265,93,11.203868957285778
Manhattan,Stuyvesant Town,40.730999554770605,-73.97405170469203,97,11.34372075597565
Manhattan,Flatiron,40.73967304763842,-73.99094710528259,104,11.72463641751645
Queens,Sunnyside Gardens,40.74565180608076,-73.91819286431682,9,11.347403571818038
Queens,Blissville,40.73725071694497,-73.93244235260178,4,11.186531359555026
Brooklyn,Fulton Ferry,40.70328109093014,-73.99550751888415,35,12.525577073301763
Brooklyn,Vinegar Hill,40.70332149882874,-73.98111603592393,28,12.155910771810467
Brooklyn,Weeksville,40.67503986503237,-73.93053108817337,12,13.109856700256781
Brooklyn,Broadway Junction,40.67786104769531,-73.90331684852598,3,13.396327054380583
Brooklyn,Dumbo,40.703176328226924,-73.98875280745041,36,12.338491861221305
Staten Island,Manor Heights,40.60180957631444,-74.12059399718001,4,23.410671289029903
Staten Island,Willowbrook,40.603706926273716,-74.13208447484298,4,23.938519756118502
Staten Island,Sandy Ground,40.54113992209177,-74.21776636068567,0,33.19500113696576
Staten Island,Egbertville,40.57911874296122,-74.12727240604946,5,25.328269072970272
Queens,Roxbury,40.56737588957032,-73.89213760232822,0,21.76896806097132
Brooklyn,Homecrest,40.598525095137255,-73.95918459428701,22,18.391866654580422
Queens,Middle Village,40.71641451115819,-73.88114319200605,4,12.567180002236576
Staten Island,Prince's Bay,40.526264067348116,-74.20152556457658,3,33.3262345142057
Staten Island,Lighthouse Hill,40.57650629379489,-74.13792663771568,2,26.088134242338093
Staten Island,Richmond Valley,40.5195414574891,-74.22957080626941,0,35.44189778312226
Queens,Malba,40.790601556701475,-73.8266775713864,1,15.214889904693212
Brooklyn,Highland Park,40.681998934517296,-73.890345709872,1,13.503555730776124
Brooklyn,Madison,40.60937770113766,-73.94841515328893,20,17.44927020351025
Bronx,Bronxdale,40.85272297633017,-73.86172577555115,23,17.266610616216955
Bronx,Allerton,40.86578787802982,-73.85931863221647,9,18.339845660779233
Bronx,Kingsbridge Heights,40.870392391414704,-73.90152264513144,19,17.884604410375868
Brooklyn,Erasmus,40.64692606658579,-73.94817709920184,24,14.641373964190414
Manhattan,Hudson Yards,40.75665808227519,-74.00011136202637,27,12.26473782973609
Queens,Hammels,40.58733774018741,-73.80553002968719,0,22.586069958076084
Queens,Bayswater,40.61132169128385,-73.76596781445626,3,22.610267974282817
Queens,Queensbridge,40.75609129709471,-73.9456307033409,93,11.069510460395072
Staten Island,Fox Hills,40.61731079252983,-74.08173992211962,3,20.389055129577713
